folio,tag,meta_left,scribal,line_text,word_index,original_word,cleaned_word,unified_word,has_markup,ambiguity_notes
f85r1,f85r1.P.33;H,f85r1.P.33,H,ysheedy.ksheey.qokoror.chod.lkchedy.qotody.qokar.shty.otarar,1,ysheedy.ksheey.qokoror.chod.lkchedy.qotody.qokar.shty.otarar,ysheedy.ksheey.qokoror.chod.lkchedy.qotody.qokar.shty.otarar,ysheedy.ksheey.qokoror.chod.lkchedy.qotody.qokar.shty.otarar,False,many_dots
f85r1,f85r1.T.34;H,f85r1.T.34,H,sar.chedar.olpchdy.otol.otchedy,1,sar.chedar.olpchdy.otol.otchedy,sar.chedar.olpchdy.otol.otchedy,sar.chedar.olpchdy.otol.otchedy,False,many_dots
f85r2,f85r2,f85r2,,,,,,,False,
f85r2,f85r2.C1.1;H,f85r2.C1.1,H,odchdy.otedy.opoees.ar.chcthy.otchdy.otedy.otar.chepaiin.otadar.otodaiin.opoiin.otaiin.qopchchs.otchedy.olkaiin.odar.aloees.otchedy.qotedaiin.odar.octhody.shedaiin.olaiin.olfor.daiin.ol.lkech*.os.aiin.otchdy.dar.otees.ofaiin.chcphdar.,1,odchdy.otedy.opoees.ar.chcthy.otchdy.otedy.otar.chepaiin.otadar.otodaiin.opoiin.otaiin.qopchchs.otchedy.olkaiin.odar.aloees.otchedy.qotedaiin.odar.octhody.shedaiin.olaiin.olfor.daiin.ol.lkech*.os.aiin.otchdy.dar.otees.ofaiin.chcphdar.,odchdy.otedy.opoees.ar.chcthy.otchdy.otedy.otar.chepaiin.otadar.otodaiin.opoiin.otaiin.qopchchs.otchedy.olkaiin.odar.aloees.otchedy.qotedaiin.odar.octhody.shedaiin.olaiin.olfor.daiin.ol.lkech.os.aiin.otchdy.dar.otees.ofaiin.chcphdar.,odchdy.otedy.opoees.ar.chcthy.otchdy.otedy.otar.chepaiin.otadar.otodaiin.opoiin.otaiin.qopchchs.otchedy.olkaiin.odar.aloees.otchedy.qotedaiin.odar.octhody.shedaiin.olaiin.olfor.daiin.ol.lkech.os.aiin.otchdy.dar.otees.ofaiin.chcphdar.,True,markup_removed;changed_by_cleaning;many_dots
f85r2,f85r2.P.1;H,f85r2.P.1,H,okees.olaiin.qokal.chdy.sary,1,okees.olaiin.qokal.chdy.sary,okees.olaiin.qokal.chdy.sary,okees.olaiin.qokal.chdy.sary,False,many_dots
f85r2,f85r2.P.2;H,f85r2.P.2,H,qokshedy.qodain.chckhy.ykeedy.chedy,1,qokshedy.qodain.chckhy.ykeedy.chedy,qokshedy.qodain.chckhy.ykeedy.chedy,qokshedy.qodain.chckhy.ykeedy.chedy,False,many_dots
f85r2,f85r2.P.3;H,f85r2.P.3,H,ar.aiin.ckhedy.or.ain.olchey.qokal.shedy,1,ar.aiin.ckhedy.or.ain.olchey.qokal.shedy,ar.aiin.ckhedy.or.ain.olchey.qokal.shedy,ar.aiin.ckhedy.or.ain.olchey.qokal.shedy,False,many_dots
f85r2,f85r2.P.4;H,f85r2.P.4,H,qokeody.qoekedy.dody.csedy.qodaiin,1,qokeody.qoekedy.dody.csedy.qodaiin,qokeody.qoekedy.dody.csedy.qodaiin,qokeody.qoekedy.dody.csedy.qodaiin,False,many_dots
f85r2,f85r2.P.5;H,f85r2.P.5,H,los.ar.shedy.qokshey.qoseey.or.aiinog,1,los.ar.shedy.qokshey.qoseey.or.aiinog,los.ar.shedy.qokshey.qoseey.or.aiinog,los.ar.shedy.qokshey.qoseey.or.aiinog,False,many_dots
f85r2,f85r2.P.5a;H,f85r2.P.5a,H,ol.lcheol.chol.ol.sheoly,1,ol.lcheol.chol.ol.sheoly,ol.lcheol.chol.ol.sheoly,ol.lcheol.chol.ol.sheoly,False,many_dots
